trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
404,False,"{'a': 0.01, 'e': 0.017597472415623393}",25,0,41.98458778330847,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,False,"{'a': 0.01, 'e': 0.017422374639493515}",20,0,29.166724664149918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.01, 'e': 0.017249019115346265}",30,14,27.083260329780842,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.017077388507484793}",20,10,17.01160101003533,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.016907465652705279}",25,5,25.20349971113079,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016739233558580632}",30,12,30.90711968512053,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.016572675401761255}",20,2,29.717544781082495,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.01, 'e': 0.016407774526292645}",25,2,31.426306015876808,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.01, 'e': 0.016244514441949871}",20,7,9.494324171310366,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.01, 'e': 0.016082878822588433}",20,13,11.299159494214143,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.01, 'e': 0.015922851504511698}",25,11,-16.85034221816921,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
415,False,"{'a': 0.01, 'e': 0.015764416484854486}",25,8,-20.019955215350528,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
416,False,"{'a': 0.01, 'e': 0.015607557919982831}",30,10,32.65583483517269,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.01, 'e': 0.015452260123909515}",25,8,32.00485956345491,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.01, 'e': 0.015298507566725518}",35,0,54.35132646027662,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
419,False,"{'a': 0.01, 'e': 0.01514628487304698}",35,13,43.56587034464094,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.01, 'e': 0.014995576820477703}",25,0,22.8241649324115,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
421,False,"{'a': 0.01, 'e': 0.014846368338086832}",25,1,37.90738610837063,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.01, 'e': 0.014698644504901784}",30,15,26.50148300743686,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.01, 'e': 0.014552390548416123}",25,0,32.15306854374781,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
424,False,"{'a': 0.01, 'e': 0.01440759184311235}",25,11,21.576662001436947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.01, 'e': 0.014264233908999256}",30,7,35.844763142961945,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
